Response_id,Height,Weight,Earnings,Relationship,GPA
1166955,65,160,15000,Yes,3.5
1167010,65,120,16000,Yes,3
1167023,69,130,6000,No,3.7
1167071,62,125,3000,Yes,
1167545,65,120,3000,No,
1168285,71,165,3500,No,
1168553,70,133,5500,Yes,4
1168749,75,210,8000,Yes,3.6
1168898,69,185,20000,No,2.8
1170080,62,,25000,Yes,
1170082,67,125,6000,No,3.65
1170095,69,140,4000,No,3.22
1170102,71,185,96000,Yes,
1170119,63,220,5000,No,3.35
1170121,66,120,6000,No,3.8
1170428,65,,5000,Yes,3.89
1170508,62,140,2000,No,3.7
1170593,67,140,6000,Yes,4
1170744,68,,4100,No,
1170957,70,165,14000,Yes,3.51
1170958,74,195,4000,No,3.85
1170999,73,168,2000,No,3.95
1171203,66,168,5000,No,3.8
1171243,70,132,3000,No,
1171334,61,130,1500,No,
1171378,67,202,10000,Yes,3.9
1171397,68,170,10000,No,3.13
1171425,64,119,2564,No,3.54
1171426,71,198,2000,Yes,3.22
1171438,71,165,0,Yes,3.7
1171445,71,,15000,No,
1171448,71,195,7500,No,3.6
1171517,66,140,20000,No,3.92
1171529,72,140,15000,Yes,2.67
1171533,74,153,8945,No,
1171593,70,170,4000,Yes,3.8
1171608,66,,9000,Yes,3.1
1171629,68,150,6000,Yes,2.89
1171635,64,180,2000,Sort of/ Not sure,3.4
1171641,70,142,2000,No,3.67
1171692,72,185,7500,No,3.3
1171706,76,190,10000,Yes,3.56
1171710,68,135,5000,No,3.9
1171727,68,157,3200,No,2.8
1171736,70,163,3000,No,3.6
1171738,73,145,3000,Yes,2.85
1171743,68,130,14000,No,3.7
1171792,72,150,0,No,3.4
1171794,72,172,6000,Sort of/ Not sure,4
1171805,72,170,0,No,3.93
1171813,64,99.2,5000,No,3.3
1171814,68,165,25000,No,3.2
1171818,73,185,6500,Yes,3.4
1171823,72,140,500,No,3.5
1171896,71,145,2000,No,3.7
1171903,72,178,10800,No,2.9
1171913,65,112,0,No,
1171929,59,,3000,No,
1171936,73,170,30000,Yes,3.7
1171938,70,139,18000,Sort of/ Not sure,3.85
1171947,72,185,5500,No,3.55
1171948,65,140,0,No,
1171949,65,161,14000,Yes,3.61
1171955,63,127,4800,No,3.85
1171956,69,185,12000,Yes,3.7
1171958,65,136,1000,Yes,
1172022,69,160,10000,No,3.83
1172041,72,170,8000,Yes,3.5
1172050,68,158,750,Yes,3.97
1172099,74,210,10000,No,2.9
1172126,70,140,5000,No,
1172169,68,160,0,No,2
1172240,70,148,2000,No,3.62
1172245,72,170,500,Yes,3.38
1172260,69,165,9000,Yes,
1172270,63,127,1500,Yes,
1172276,64,153,5500,Yes,3.98
1172429,76,180,11000,Yes,2.67
1172461,66,128,5000,No,3.69
1172462,65,140,3000,No,3.71
1172475,66,140,30000,Yes,3.6
1172476,70,180,24000,Yes,3.03
1172491,67,202,1400,No,2.8
1172581,74,157,5000,No,
1172589,72,165,9000,Yes,3.8
1172592,70,173,6000,No,3
1172594,67,133,3000,No,3.8
1172595,71,145,6000,No,
1172597,70,128,18000,No,2.8
1172598,69,,0,No,
1172606,68,110,640,Yes,3.68
1172660,60,134,7000,Yes,3.78
1172680,66,127,24000,Yes,2.2
1172697,71,195,100000,Yes,
1172733,63,110,7000,Sort of/ Not sure,2.9
1172740,61,105,5000,No,2.7
1172874,74,160,7000,Sort of/ Not sure,3.6
1172889,67,139,1851,No,2.5
1172890,64,115,1600,No,3.5
1172900,70,180,13000,No,2.7
1172951,70,140,5000,No,
1173012,72,194,4600,No,
1173035,68,155,12000,No,2.84
1173040,72,,0,Yes,3.3
1173134,74,230,8000,Yes,
1173265,69,190,20000,No,2.8
1173323,73,166,5500,Sort of/ Not sure,3.75
1166968,68,136,6000,Yes,3.82
1167003,69,140,0,Yes,
1167007,59,105,10000,Yes,3.1
1167042,70,125,0,No,3.45
1167086,67,146,3000,No,3.75
1167858,66,,3000,No,3.5
1168035,73,160,2000,No,3.2
1168597,70,135,5000,No,2.6
1168613,64,140,3000,Sort of/ Not sure,3.97
1168794,71,128,2000,No,
1169843,67,,3000,No,
1169901,66,150,5000,Yes,3.82
1170074,68,205,4000,Yes,3.2
1170101,72,125,7000,No,4
1170172,67,150,10000,No,3.5
1170177,67,160,25000,Yes,4
1170186,67,145,3000,No,3.69
1170241,65,118,500,Yes,3.63
1170566,68,144,5000,Yes,3.93
1170648,68,130,3500,No,3.72
1170684,71,160,500,No,3.4
1170694,65,110,500,No,
1170778,71,,5307,No,3.05
1170792,73,184,6000,No,3.67
1170908,63,145,2500,No,3.75
1170937,67,169,120000,No,3
1170952,68,,0,No,
1170953,64,124,500,No,3.67
1170998,76,167,4000,Yes,3.9
1171004,65,145,8000,No,3.5
1171012,62,160,2000,No,3.6
1171115,71,138,2000,Sort of/ Not sure,
1171242,61,145,7000,Yes,3.79
1171359,72,165,8000,Yes,
1171398,72,182,3600,No,3.65
1171411,68,155,1000,No,
1171418,73,183,7000,No,3.57
1171433,71,260,4000,No,3.85
1171436,68,170,4700,No,3.3
1171456,65,,10000,Yes,
1171536,68,193,9500,No,
1171609,66,180,7000,No,3.51
1171614,72,176,10000,Yes,3.98
1171637,69,160,6000,Sort of/ Not sure,3.4
1171652,72,150,20000,No,3.91
1171663,74,,5000,No,3.9
1171726,67,130,3000,Yes,2.98
1171728,72,197,3000,No,3.62
1171755,72,166,1500,Yes,3.5
1171758,66,125,5000,Sort of/ Not sure,2.8
1171760,68,147,6000,Yes,
1171790,64,134,0,No,3.52
1171864,63,110,3500,Sort of/ Not sure,3.88
1171866,68,180,29000,Yes,3.4
1171868,66,155,10000,Yes,3.7
1171870,70,135,2500,No,
1171874,69,150,10000,Yes,3.8
1171904,70,140,6000,Yes,3.97
1171906,72,168,8000,Yes,3.93
1171912,64,,5500,No,
1171931,62,115,300,Yes,3.4
1171935,69,150,10000,Yes,3.82
1171953,62,108,1000,Yes,
1172021,63,,50000,Yes,3.33
1172048,71,150,5000,No,3.35
