Response_id,Earnings,Political
1166955,15000,2
1167010,16000,3
1167023,6000,2
1167071,3000,6
1167545,3000,2
1168285,3500,4
1168553,5500,1
1168749,8000,3
1168898,20000,3
1170080,25000,5
1170082,6000,3
1170095,4000,3
1170102,96000,2
1170119,5000,1
1170121,6000,3
1170428,5000,1
1170508,2000,2
1170593,6000,5
1170744,4100,1
1170957,14000,5
1170958,4000,3
1170999,2000,5
1171203,5000,0
1171243,3000,4
1171334,1500,1
1171378,10000,0
1171397,10000,2
1171425,2564,3
1171426,2000,4
1171438,0,8
1171445,15000,1
1171448,7500,5
1171517,20000,2
1171529,15000,4
1171533,8945,3
1171593,4000,1
1171608,9000,10
1171629,6000,2
1171635,2000,2
1171641,2000,5
1171692,7500,4
1171706,10000,2
1171710,5000,3
1171727,3200,5
1171736,3000,6
1171738,3000,8
1171743,14000,2
1171792,0,9
1171794,6000,3
1171805,0,3
1171813,5000,5
1171814,25000,3
1171818,6500,5
1171823,500,5
1171896,2000,4
1171903,10800,6
1171913,0,4
1171929,3000,1
1171936,30000,5
1171938,18000,7
1171947,5500,5
1171948,0,0
1171949,14000,3
1171955,4800,2
1171956,12000,4
1171958,1000,1
1172022,10000,2
1172041,8000,2
1172050,750,4
1172099,10000,1
1172126,5000,4
1172169,0,1
1172240,2000,5
1172245,500,4
1172260,9000,6
1172270,1500,3
1172276,5500,3
1172429,11000,10
1172461,5000,3
1172462,3000,2
1172475,30000,5
1172476,24000,0
1172491,1400,0
1172581,5000,7
1172589,9000,0
1172592,6000,4
1172594,3000,0
1172595,6000,1
1172597,18000,3
1172598,0,4
1172606,640,2
1172660,7000,0
1172680,24000,2
1172697,100000,2
1172733,7000,2
1172740,5000,10
1172874,7000,4
1172889,1851,7
1172890,1600,9
1172900,13000,5
1172951,5000,3
1173012,4600,2
1173035,12000,3
1173040,0,7
1173134,8000,7
1173265,20000,3
1173323,5500,4
1173403,0,8
1173416,2000,3
1173462,0,5
1173581,12000,0
1174266,3500,3
1166968,6000,2
1167003,0,0
1167007,10000,0
1167042,0,
1167086,3000,3
1167858,3000,2
1168035,2000,2
1168597,5000,8
1168613,3000,5
1168794,2000,5
1169843,3000,1
1169901,5000,1
1170074,4000,0
1170101,7000,1
1170172,10000,1
1170177,25000,1
1170186,3000,3
1170241,500,1
1170566,5000,4
1170648,3500,0
1170684,500,6
1170694,500,2
1170778,5307,2
1170792,6000,3
1170908,2500,8
1170937,,4
1170952,0,3
1170953,500,6
1170998,4000,4
1171004,8000,4
1171012,2000,7
1171115,2000,2
1171242,7000,5
1171359,8000,0
1171398,3600,6
1171411,1000,1
1171418,7000,7
1171433,4000,2
1171436,4700,7
1171456,10000,5
1171536,9500,7
1171609,7000,1
1171614,10000,3
1171637,6000,4
1171652,20000,2
1171663,5000,3
1171726,3000,4
1171728,3000,2
1171755,1500,2
1171758,5000,3
1171760,6000,7
1171790,0,4
1171864,3500,2
1171866,29000,2
1171868,10000,0
1171870,2500,0
1171874,10000,9
1171904,6000,3
1171906,8000,8
1171912,5500,2
1171931,300,2
1171935,10000,7
1171953,1000,9
1172021,50000,4
1172048,5000,3
1172053,2000,1
1172054,2000,1
1172093,4000,3
1172203,12000,6
1172424,12000,2
1172428,2000,0
1172575,300,4
1172585,5000,5
1172590,3000,4
1172591,8000,1
1172596,5000,1
1172599,0,4
1172624,500,0
1172633,4000,3
1173135,5000,4
1173306,7500,6
1173601,1000,4
1173690,1000,4
1173787,5500,3
1173795,2000,1
1174321,3000,4
1174322,300,0
1174326,20000,7
